orig_image,mask_image
images\ch10_20221228193446_20221228203446@003888.bmp,masks\ch10_20221228193446_20221228203446@003888.bmp
images\ch10_20221228193446_20221228203446@012407.bmp,masks\ch10_20221228193446_20221228203446@012407.bmp
images\ch10_20221228193446_20221228203446@017962.bmp,masks\ch10_20221228193446_20221228203446@017962.bmp
images\ch10_20221228193446_20221228203446@019259.bmp,masks\ch10_20221228193446_20221228203446@019259.bmp
images\ch10_20221228193446_20221228203446@025539.bmp,masks\ch10_20221228193446_20221228203446@025539.bmp
images\ch10_20221228193446_20221228203446@034984.bmp,masks\ch10_20221228193446_20221228203446@034984.bmp
images\ch10_20221228193446_20221228203446@042592.bmp,masks\ch10_20221228193446_20221228203446@042592.bmp
images\ch10_20221228193446_20221228203446@062962.bmp,masks\ch10_20221228193446_20221228203446@062962.bmp
images\ch10_20221228193446_20221228203446@065184.bmp,masks\ch10_20221228193446_20221228203446@065184.bmp
images\ch10_20221228193446_20221228203446@075011.bmp,masks\ch10_20221228193446_20221228203446@075011.bmp
images\ch10_20221228193446_20221228203446@080554.bmp,masks\ch10_20221228193446_20221228203446@080554.bmp
images\ch10_20221228193446_20221228203446@097035.bmp,masks\ch10_20221228193446_20221228203446@097035.bmp
images\ch10_20221228193446_20221228203446@106844.bmp,masks\ch10_20221228193446_20221228203446@106844.bmp
images\ch10_20221228193446_20221228203446@129439.bmp,masks\ch10_20221228193446_20221228203446@129439.bmp
images\ch10_20221228193446_20221228203446@141665.bmp,masks\ch10_20221228193446_20221228203446@141665.bmp
images\ch10_20221228193446_20221228203446@155183.bmp,masks\ch10_20221228193446_20221228203446@155183.bmp
images\ch10_20221228193446_20221228203446@162405.bmp,masks\ch10_20221228193446_20221228203446@162405.bmp
images\ch10_20221229163446_20221229173446_@005740.bmp,masks\ch10_20221229163446_20221229173446_@005740.bmp
images\ch10_20221229163446_20221229173446_@009721.bmp,masks\ch10_20221229163446_20221229173446_@009721.bmp
images\ch10_20221229163446_20221229173446_@009907.bmp,masks\ch10_20221229163446_20221229173446_@009907.bmp
images\ch10_20221229163446_20221229173446_@010647.bmp,masks\ch10_20221229163446_20221229173446_@010647.bmp
images\ch10_20221229163446_20221229173446_@012221.bmp,masks\ch10_20221229163446_20221229173446_@012221.bmp
images\ch10_20221229163446_20221229173446_@027036.bmp,masks\ch10_20221229163446_20221229173446_@027036.bmp
images\ch10_20221229163446_20221229173446_@043424.bmp,masks\ch10_20221229163446_20221229173446_@043424.bmp
images\ch10_20221229163446_20221229173446_@069349.bmp,masks\ch10_20221229163446_20221229173446_@069349.bmp
images\ch10_20221229163446_20221229173446_@076571.bmp,masks\ch10_20221229163446_20221229173446_@076571.bmp
images\ch10_20221229163446_20221229173446_@076660.bmp,masks\ch10_20221229163446_20221229173446_@076660.bmp
